"chapter","file","description","lines","has_main"
"cap18","repositorio_competitive/cap18/t01-s3-2-star-atlas.cpp","The Star Atlas","48","yes"
"cap18","repositorio_competitive/cap18/t01-s4-1-hourglass-walk.cpp","The Hourglass Walk","46","yes"
"cap18","repositorio_competitive/cap18/t01-s4-2-two-ferries.cpp","The Two Ferries","52","yes"
"cap18","repositorio_competitive/cap18/t01-s4-3-usurper-coin.cpp","The Usurper Coin","57","yes"
"cap18","repositorio_competitive/cap18/t02-s1-1-orchard-rows.cpp","The Orchard Rows","43","yes"
"cap18","repositorio_competitive/cap18/t02-s2-1-vineyard-terraces.cpp","The Vineyard Terraces","56","yes"
"cap18","repositorio_competitive/cap18/t02-s3-1-apiary-census.cpp","The Apiary Census","53","yes"
"cap18","repositorio_competitive/cap18/t02-s3-2-bakery-shelf.cpp","The Bakery Shelf","46","yes"
"cap18","repositorio_competitive/cap18/t02-s4-1-falconry-roster.cpp","The Falconry Roster","54","yes"
"cap18","repositorio_competitive/cap18/t02-s4-2-salt-lagoon.cpp","The Salt Lagoon","47","yes"
"cap18","repositorio_competitive/cap18/t02-s4-3-ropewalk-ledger.cpp","The Ropewalk Ledger","53","yes"
"cap18","repositorio_competitive/cap18/a1-01-paper-mill.cpp","The Paper Mill Quota","42","yes"
"cap18","repositorio_competitive/cap18/a1-02-wool-market.cpp","The Wool Market","51","yes"
"cap18","repositorio_competitive/cap18/a1-03-quarry-map.cpp","The Quarry Map","63","yes"
"cap18","repositorio_competitive/cap18/t03-s1-1-telegraph-counter.cpp","The Telegraph Counter","66","yes"
"cap18","repositorio_competitive/cap18/t03-s2-1-town-crier.cpp","The Town Crier Breath","54","yes"
"cap18","repositorio_competitive/cap18/t03-s3-1-adding-machine.cpp","The Antique Adding Machine","55","yes"
"cap18","repositorio_competitive/cap18/t03-s3-2-apothecary-doses.cpp","The Apothecary Doses","78","yes"
"cap18","repositorio_competitive/cap18/t03-s4-1-loom-inspector.cpp","The Loom Inspector","69","yes"
"cap18","repositorio_competitive/cap18/t03-s4-2-granary-sheet.cpp","The Granary Intake Sheet","63","yes"
"cap18","repositorio_competitive/cap18/t03-s4-3-glacier-gauge.cpp","The Glacier Gauge","55","yes"
"cap18","repositorio_competitive/cap18/t04-s1-1-mile-stones.cpp","The Mile Stones","56","yes"
"cap18","repositorio_competitive/cap18/t04-s2-1-watchfires.cpp","The Watchfires","69","yes"
"cap18","repositorio_competitive/cap18/t04-s3-1-choir-lofts.cpp","The Choir Lofts","58","yes"
"cap18","repositorio_competitive/cap18/t04-s3-2-toll-board.cpp","The Toll Board","46","yes"
"cap18","repositorio_competitive/cap18/t04-s4-1-regatta-standings.cpp","The Regatta Standings","52","yes"
"cap18","repositorio_competitive/cap18/t04-s4-2-rotated-psalter.cpp","The Rotated Psalter","53","yes"
"cap18","repositorio_competitive/cap18/t04-s4-3-kite-strings.cpp","The Kite Strings","66","yes"
"cap18","repositorio_competitive/cap18/a2-01-pigeon-post.cpp","The Pigeon Post","54","yes"
"cap18","repositorio_competitive/cap18/a2-02-windmill-quota.cpp","The Windmill Quota","64","yes"
"cap18","repositorio_competitive/cap18/a2-03-cooper-stock.cpp","The Cooper Stock","43","yes"
"cap18","repositorio_competitive/cap18/a2-04-chandler-crates.cpp","The Chandler Crates","58","yes"
"cap18","repositorio_competitive/cap18/t05-s1-1-dredging-crews.cpp","The Dredging Crews","56","yes"
"cap18","repositorio_competitive/cap18/t05-s2-1-fermentation-log.cpp","The Fermentation Log","66","yes"
"cap18","repositorio_competitive/cap18/t05-s3-1-tinkers-road.cpp","The Tinkers Road","50","yes"
"cap18","repositorio_competitive/cap18/t05-s3-2-porters-span.cpp","The Porters Span","54","yes"
"cap18","repositorio_competitive/cap18/t05-s4-1-riverbed-survey.cpp","The Riverbed Survey","63","yes"
"cap18","repositorio_competitive/cap18/t05-s4-2-twin-inscriptions.cpp","The Twin Inscriptions","80","yes"
"cap18","repositorio_competitive/cap18/t05-s4-3-seed-bank.cpp","The Seed Bank","89","yes"
"cap18","repositorio_competitive/cap18/t06-s1-1-sawmill-queue.cpp","The Sawmill Queue","57","yes"
"cap18","repositorio_competitive/cap18/t06-s2-1-box-office-row.cpp","The Box Office Row","80","yes"
"cap18","repositorio_competitive/cap18/t06-s3-1-chimney-line.cpp","The Chimney Line","61","yes"
"cap18","repositorio_competitive/cap18/t06-s3-2-rope-bridges.cpp","The Rope Bridges","84","yes"
"cap18","repositorio_competitive/cap18/t06-s4-1-cloakroom-hooks.cpp","The Cloakroom Hooks","61","yes"
"cap18","repositorio_competitive/cap18/t06-s4-2-fountain-mains.cpp","The Fountain Mains","92","yes"
"cap18","repositorio_competitive/cap18/t06-s4-3-rampart-torches.cpp","The Rampart Torches","124","yes"
